name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Norway,1.118,1.546,2.062,2.595,2.657,2.199,2.149,2.269,2.112,2.234,2.127,2.314,2.556,2.662,2.7,3.129,3.11,3.207,3.4,3.588,3.598,3.689,3.688,3.714,3.814,4.136,4.235,4.321,4.615,4.732,4.777,4.829,5.018,5.236,5.043,5.81,5.627,5.988,5.707696756,5.859216841,5.906520424,5.727822135,6.207279106,5.784403818,6.082177966,5.492718156,5.56820434,5.474992772,5.837517518,5.868597835,5.673720413,5.710306746,6.862083207,6.598129406,6.764683878,6.365142354,6.352700406,6.757429138,6.794486031,7.210812046,7.099517624,7.232264061,7.363107116,7.502067476,7.26142204
Greece,1.107,1.305,1.26,1.205,1.297,1.319,1.704,1.775,1.748,1.81,1.923,1.86,1.891,1.939,2.016,2.18,2.366,3.047,3.558,4.028,4.346,4.593,4.897,4.924,6.115,7.867,8.609,9.127,9.323,9.031,7.811,9.245,9.434,8.605,8.447,8.383,7.164,7.148,7.558182197,7.086736599,7.164855673,6.795330355,7.061849855,6.892908768,7.011650044,7.161617096,7.590528008,8.088499994,8.813983688,9.227710549,9.737900577,9.523475943,9.341946178,8.00340687,8.799316712,9.515107074,9.89307121,9.885218241,10.98919109,11.52172298,8.853970046,7.128605754,6.304949562,6.269164021,5.584984263
Belgium,2.296,3.398,5.022,5,5.158,4.272,4.154,4.331,4.266,4.3,4.396,4.444,4.73,4.876,5.233,5.066,5.471,5.736,5.938,5.978,6.372,6.64,6.999,7.319,7.422,8.082,8.505,8.724,9.307,9.512,9.696,9.782,9.458,9.083,8.697,8.596,8.951,9.008,8.626701738,8.493012064,8.332346471,8.214531145,6.745020467,6.405146695,6.370110145,6.240022295,6.122411435,6.045461938,6.043477639,6.122369894,6.12193196,5.852495264,5.675136386,5.736504311,5.617322858,5.412622047,5.370564639,5.79508671,6.317834783,5.950570815,5.699315317,5.499369025,5.438040163,5.265924772,5.190782123
Denmark,1.151,1.378,1.889,2.461,2.45,2.415,2.317,2.438,2.363,2.318,2.584,2.648,3.242,3.252,3.37,3.576,3.519,3.516,3.752,3.694,3.898,3.965,3.943,3.75,4.124,4.516,4.421,4.443,4.616,4.645,4.687,4.737,4.874,4.913,4.794,4.686,4.514,4.769,4.864,4.744,4.747,4.833,4.744,4.757,4.638,4.589,4.604,4.662,4.713,4.686,4.532,4.813,4.755,4.614,4.64,4.422,4.835,4.663,4.843,4.553,4.848,4.519,4.659,4.281,4.489
Portugal,0.956,0.993,1.085,1.256,1.32,1.412,1.402,1.44,1.472,1.652,1.719,2.756,3.133,3.06,3.336,3.338,3.517,4.316,4.544,4.265,4.746,5.176,5.186,4.901,5.746,3.782,3.029,2.79,2.818,2.864,3.105,3.091,3.096,2.977,2.77,2.803,3.152,3.28,3.640653401,3.821222714,3.928364934,4.049273454,4.157975454,4.025233483,3.915823076,4.205440981,4.05486967,4.143228942,4.051809286,4.263711021,4.39108131,4.567515093,4.694686871,4.529663115,4.811022167,5.099737569,4.953943851,4.741924396,4.75983794,5.205989641,5.133981803,4.90439179,4.355439519,4.858807352,4.269174321
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.880524393,10.23051572,4.584886387,4.706934645,3.704071815,2.234807805,2.662852399,2.591895168,2.518862415,2.824246509,2.565066759,2.314914843,2.203467483,2.311065177,2.298649897,2.37105966,2.549690846,2.696962779,2.779591725,2.665546951,2.937802859,2.497975765,2.30056383,2.379872783,2.566214859,2.561365812,2.562168479
Czech.Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.929,3.026,2.902,2.878,2.723,2.956,3.205,3.305,3.179,3.397,3.691,3.541,3.872,3.576,3.449,2.941,3.027,2.748,2.474,2.298,2.199,2.251
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.583,3.808,3.237,2.524,2.362,2.11,2.095,1.609,1.504,1.809,1.632,1.878,2.02,2.23,2.169,2.336,2.162,2.141,1.919,1.955,1.817,1.619,1.452,1.472,1.401,1.252,1.249
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.115738483,1.151626112,2.039526324,2.026255489,1.630521831,1.274838647,1.113789079,1.15768711,1.304003338,1.321332498,1.401419142,1.301861248,1.41081831,1.431039551,1.439462397,1.473698473,1.409759487,1.232749508,1.060602527,1.060129212,0.96012667,0.984287159
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.254,2.862,3.217,3.421,3.206,3.235,2.494,1.955,1.378,1.277,1.381,1.118,1.016,1.06,1.071,1.103,1.266,1.153,1.069,1.106,1.011,0.966,0.894
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.521,3.649,1.98,1.494,1.128,0.967,0.952,0.781,0.729,0.843,0.956,0.986,1.092,1.101,1.123,1.097,1.122,1.113,1.293,1.083,1.029,0.978,0.829,0.849,0.907,0.855
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545,0.0734,0.0934,0.0926,0.0901,0.12,0.127,0.158,0.187,0.218,0.26,0.301,0.317,0.395,0.444,0.538,0.519,0.47,0.366,0.389,0.455,0.47,0.496
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550121503,0.472059802,0.458518385,0.522945509,0.536392855,0.514601237,0.513780025,0.48332018,0.439988573,0.5401037,0.599013712,0.623666912,0.661509497,0.674165085,0.772314487,0.777265981,0.823082295,0.828867591,0.825063744,0.665679437,0.573134818,0.507697042,0.489483043
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177472703,0.095777097,0.099678814,0.111010443,0.182396475,0.317267066,0.242594047,0.316775091,0.371474869,0.370258926,0.362201918,0.417773972,0.455493268,0.504116424,0.549617365,0.566808953,0.427687892,0.356960219,0.344605215,0.345175126,0.357040486,0.378289532
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100159325,0.117032531,0.113410179,0.088171149,0.085389434,0.091982255,0.11956287,0.149368619,0.187503758,0.306609919,0.353686495,0.381804811,0.444317167,0.558564468,0.608819132,0.596500565,0.378856773,0.286866289,0.296835021,0.272882292,0.292968812,0.307286882
Luxembourg,0.043,0.061,0.099,0.111,0.127,0.138,0.088,0.093,0.09,0.084,0.055,0.06,0.073,0.07,0.09,0.089,0.09,0.073,0.065,0.066,0.067,0.068,0.075,0.082,0.089,0.095,0.102,0.1,0.109,0.112,0.13,0.135,0.136,0.139,0.14,0.136,0.143,0.164,0.187,0.172,0.179,0.197,0.206,0.188,0.207,0.202,0.208,0.225,0.241,0.245,0.25,0.313,0.279,0.296,0.311,0.314,0.308,0.319,0.294,0.293,0.359383613,0.307219554,0.289768604,0.292815447,0.294946224
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.21,0.152,0.133,0.127,0.119,0.107,0.0744,0.0704,0.0815,0.0901,0.102,0.102,0.115,0.126,0.13,0.16,0.198,0.233,0.251,0.202,0.197,0.193,0.18,0.133
